Local Authority,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Phone,Principal Name,Ethos/Religion,School Gender - Post Primary,Irish Classification - Post Primary,Female Enrolment,Male Enrolment,Total Enrolment
Cavan County Council,70390L,Virginia College,Virginia,Co Cavan,,,0498547050,Karen Fitzpatrick,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,319,390,709
Cavan County Council,76087R,CAVAN INSTITUTE,CATHEDRAL ROAD,CAVAN,,,0494332633,Ann Marie Lacey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,762,561,1323
Cavan County Council,81005Q,St Aidans Comprehensive School,Cootehill,Co Cavan,,,0495552161,MISS MARY ANN SMITH,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,245,232,477
Cavan County Council,91351S,Bailieborough Community School,Bailieborough,Co Cavan,,,0429665295,MRS. PATRICIA ATKINS,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,277,276,553
Clare County Council,61910K,Rice College,New Road,Ennis,Co Clare,,0656822105,MR. LOUIS MULQUEEN,CATHOLIC,Mixed,No subjects taught through Irish,258,359,617
Clare County Council,61920N,St Flannan's College,Ennis,Co Clare,,,0656828019,MR. COLM MC DONAGH,CATHOLIC,Mixed,No subjects taught through Irish,401,820,1221
Clare County Council,61930Q,Coláiste Mhuire,College Road,Ennis,Co Clare,,0656829497,MISS JEAN A POUND,CATHOLIC,Girls,No subjects taught through Irish,689,,689
Clare County Council,61940T,Meánscoil Na mBráithre,Ennistymon,Co. Clare,,,0657071349,MRS. ANN TUOHY,CATHOLIC,Boys,No subjects taught through Irish,,164,164
Clare County Council,61950W,Scoil Mhuire,Ennistymon,Co Clare,,,0657071224,MRS. JOSEPHINE DONNELLAN,CATHOLIC,Girls,No subjects taught through Irish,290,,290
Clare County Council,62000W,Mary Immaculate Secondary School,Lisdoonvarna,Co Clare,,,0657074266,MR. JOHN O'LOUGHLIN,CATHOLIC,Mixed,No subjects taught through Irish,166,143,309
Clare County Council,62010C,St. Joseph's Secondary School,Spanish Point,Milown Malbay,Co Clare,,0657084311,MS. MARY CRAWFORD,CATHOLIC,Mixed,No subjects taught through Irish,112,127,239
Clare County Council,62020F,St. Joseph's Secondary School,Tulla,Co. Clare,,,0656835113,MISS MGT M O BRIEN,CATHOLIC,Mixed,No subjects taught through Irish,201,234,435
Clare County Council,70830N,Ennis Community College,Ennis,Co Clare,,,0656829432,Mr. Matt Power,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,268,236,504
Clare County Council,70840Q,Ennistymon Vocational School,Ennistymon,Ennis,Co Clare,,0657071375,Elizabeth Flanagan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,50,124,174
Clare County Council,70860W,St Michael's Community College,Kilmihill,Co Clare,,,0659050021,Ms Helena Keane,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,146,126,272
Clare County Council,70880F,St Joseph's Community College,Carrigholt Rd.,Kilkee,Co. Clare,,0659056446,Ms THeresa O'Donnellan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,84,93,177
Clare County Council,70900I,Scariff Community College,Scariff,Co Clare,,,061921083,Mr Sean Daly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,156,174,330
Clare County Council,70901K,St Anne's Community College,Killaloe,Co Clare,,,061376257,Ms Aideen Walsh,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,239,276,515
Clare County Council,76075K,St John Bosco Community College,Cahercon,Kildysart,Co Clare,,0656832300,Mrs Marion Coughlan-Flynn,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,99,98,197
Clare County Council,81007U,Shannon Comprehensive School,Shannon,Co Clare,,,061361428,MR. MORGAN HEAPHY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,293,301,594
Clare County Council,91447I,St Caimin's Community School,Tullyvarraga,Shannon,,,061364211,MR. JOHN M CLEARY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,316,384,700
Clare County Council,91448K,Kilrush Community School,Kilrush,Co Clare,,,0659051359,MR. ROCK KIRWAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,194,212,406
Cork City Council,62520C,Christian Brothers College,Sidney Hill,Wellington Road,Cork.,,0214501653,DR. LAURENCE A JORDAN,CATHOLIC,Boys,No subjects taught through Irish,,797,797
Cork City Council,62530F,North Monastery Secondary School,Our Lady's Mount,North Monastery Rd.,Cork,,0214301318,MR. MICHAEL EVANS,CATHOLIC,Boys,No subjects taught through Irish,,329,329
Cork City Council,62531H,Gaelcholáiste Mhuire,An Mhainistir Thuaidh,Corcaigh,,,0214307579,MR. DONAL O'BUACHALLA,CATHOLIC,Mixed,All pupils taught all subjects through Irish,144,237,381
Cork City Council,62540I,Deerpark C.B.S.,St Patrick's Road,Cork,,,0214962025,MR. AIDAN MC NALLY,CATHOLIC,Mixed,No subjects taught through Irish,4,255,259
Cork City Council,62560O,Coláiste Chríost Rí,Capwell Road,Cork,,,0214274904,UAS. SEAN O'CATHALAIN,CATHOLIC,Boys,Some pupils taught some subjects through Irish,,639,639
Cork City Council,62570R,Presentation Brothers College,The Mardyke,Cork,,,0214272743,MR. KENNETH WHYTE,CATHOLIC,Boys,No subjects taught through Irish,,662,662
Cork City Council,62580U,Coláiste An Spioraid Naoimh,Bishopstown,Cork,,,0214543790,UAS. MICHEAL O SEASNAIN,CATHOLIC,Boys,No subjects taught through Irish,,697,697
Cork City Council,62590A,St Vincent's Secondary School,St Mary's Road,Cork,,,0214307730,UAS. DONNACHA O'BRIAIN,CATHOLIC,Girls,No subjects taught through Irish,289,,289
Cork City Council,62621I,North Presentation Secondary School,Farranree,Cork,,,0214303330,MRS. CHRISTINA LYONS,CATHOLIC,Girls,No subjects taught through Irish,276,,276
Cork City Council,62630J,St Aloysius School,St Maries Of The Isle,Sharman Crawford Street,Cork,,0214316017,MS. YVONNE BANE,CATHOLIC,Girls,No subjects taught through Irish,270,,270
Cork City Council,62640M,St. Angela's College,St. Patrick's Hill,Cork,,,0214500059,MR. PATRICK CURRAN,CATHOLIC,Girls,No subjects taught through Irish,522,,522
Cork City Council,62650P,Ursuline Secondary School,Blackrock,Cork,,,0214358012,SR. JEAN BROWNE,CATHOLIC,Girls,No subjects taught through Irish,240,,240
Cork City Council,62661U,Mount Mercy College,Model Farm Road,Cork,,,0214542366,MRS. PADRAIGIN UI RIORDAIN,CATHOLIC,Girls,No subjects taught through Irish,731,,731
Cork City Council,62690E,Scoil Mhuire,2 Sidney Place,Wellington Road,Cork,,0214501844,MS. REGINA MORAN,CATHOLIC,Girls,No subjects taught through Irish,426,,426
Cork City Council,62691G,Regina Mundi College,Douglas Road,Cork,,,0214291681,MS. MARGARET O'DONOVAN,CATHOLIC,Girls,No subjects taught through Irish,446,,446
Cork City Council,62692I,Christ King Girls' Secondary School,Half Moon Lane,South Douglas Road,Cork,,0214961448,MISS MARY KEANE,CATHOLIC,Girls,No subjects taught through Irish,1005,,1005
Cork City Council,62693K,Presentation Secondary School,Ballyphehane,Cork,,,0214961765,SR. SHEILA KELLEHER,CATHOLIC,Girls,No subjects taught through Irish,314,,314
Cork City Council,62730N,St Patricks College,Gardiner's Hill,Cork,,,0214503055,MR. JOHN RING,CATHOLIC,Girls,No subjects taught through Irish,360,,360
Cork City Council,71110H,Nagle Community College,Mahon,Blackrock,Cork,,0214358633,Mr. George Roche,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,65,146,211
Cork City Council,71120K,Cork College Of Commerce,Morrison's Island,Cork,,,0214222100,Ms Helen Ryan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,1325,766,2091
Cork City Council,71121M,St John's Central College,Sawmill Street,Cork,,,0214255500,Gerard Looney,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,612,596,1208
Cork City Council,71122O,Colaiste Stiofán Naofa,Tramore Road,Cork,,,0214961020,Tim Kelleher,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,341,509,850
Cork City Council,71123Q,Terence Mac Swiney Community College,Hollyhill,Knocknaheeny,Cork,,0214397740,Mr William McAuliffe,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,150,162,312
Cork City Council,71124S,Coláiste Daibhéid,An t-Ardán Theas,Corcaigh,,,0214917733,Tadhg O Laighin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,100,94,194
Cork City Council,81008W,Ashton School,Blackrock Road,Cork,,,0214966044,MR. ADRIAN JOHN LANDEN,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,207,296,503
Cork City Council,91396R,Douglas Community School,Clermont Avenue,Douglas,Cork,,0214294201,MR. JAMES LONG,INTER DENOMINATIONAL,Boys,No subjects taught through Irish,,566,566
Cork City Council,91397T,Bishopstown Community School,Bishopstown,Cork,,,0214544311,MS. MARY SCRIVEN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,75,104,179
Cork City Council,91400F,Mayfield Community School,Old Youghal Road,Mayfield,Cork,,0214506855,MR. A J WALSH,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,67,221,288
Cork County Council,62050O,Árdscoil Uí Urmoltaigh,Droichead na Bandan,Co Chorcaí,,,0238844227,MS. MAJELLA BUCKLEY,CATHOLIC,Boys,No subjects taught through Irish,,340,340
Cork County Council,62060R,Bandon Grammar School,Bandon,Co Cork,,,0238841713,MR. THOMAS SUTTON,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,252,313,565
Cork County Council,62061T,Coláiste Na Toirbhirte,Árd Aoibhinn,Bandon,Co Cork,,0238841814,MS. MARY C O'DONOVAN,CATHOLIC,Girls,No subjects taught through Irish,557,,557
Cork County Council,62090D,Scoil Mhuire gan Smal,Blarney,Co Cork,,,0214385331,MR. PADRAIG SHEEHAN,CATHOLIC,Mixed,No subjects taught through Irish,246,266,512
Cork County Council,62130M,Coláiste An Chroí Naofa,Carraig na bhFear,Co Chorcaí,,,0214884104,MR. EAMONN O'DONNABHAIN,CATHOLIC,Mixed,No subjects taught through Irish,199,259,458
Cork County Council,62140P,St Aloysius College,Carrigtwohill,Co Cork,,,0214883341,MR. PATRICK LEE,CATHOLIC,Girls,No subjects taught through Irish,684,,684
Cork County Council,62170B,Sacred Heart Secondary School,Convent of Mercy,Clonakilty,Co. Cork,,0238833737,MISS ANN M BROSNAN,CATHOLIC,Girls,No subjects taught through Irish,484,,484
Cork County Council,62180E,Coláiste Muire,Bishop's St,Cobh,Co Cork,,0214813800,MRS. PAULA SWEENEY,CATHOLIC,Mixed,No subjects taught through Irish,295,283,578
Cork County Council,62200H,Colaiste Muire,Crosshaven,Co. Cork,,,0214831604,MR. DONAL O'BRIEN,CATHOLIC,Mixed,No subjects taught through Irish,231,176,407
Cork County Council,62210K,Nagle Rice Secondary School,Doneraile,Co. Cork,,,02224500,MS. BRID LYSAGHT,CATHOLIC,Mixed,No subjects taught through Irish,87,112,199
Cork County Council,62260C,Coláiste Cholmáin,Mainistir Fhearmuí,Co Chorcai,,,02531930,MR. JEREMIAH COAKLEY,CATHOLIC,Boys,No subjects taught through Irish,,422,422
Cork County Council,62270F,Loreto Secondary School,Fermoy,Co Cork,,,02532124,MRS. MARIE RING,CATHOLIC,Girls,No subjects taught through Irish,664,,664
Cork County Council,62290L,Scoil Mhuire,Kanturk,Co Cork,,,02950807,MS. MIRIAM DOWNEY,CATHOLIC,Mixed,No subjects taught through Irish,155,129,284
Cork County Council,62301N,Colaiste An Phiarsaigh,Gleann Maghair,Corcaigh,,,0214821955,MR. EOIN O TUAMA,CATHOLIC,Mixed,All pupils taught all subjects through Irish,281,255,536
Cork County Council,62310O,De La Salle College,Macroom,Co Cork,,,02641832,MR. CORNELIUS DUNNE,CATHOLIC,Mixed,No subjects taught through Irish,2,300,302
Cork County Council,62320R,St Mary'S Secondary School,Convent Of Mercy,Macroom,Co. Cork,,02641544,MR. CIARAN COOKE,CATHOLIC,Girls,No subjects taught through Irish,358,,358
Cork County Council,62330U,Patrician Academy,Mallow,Co Cork,,,02221884,MISS CATHERINE FITZPATRICK,CATHOLIC,Boys,No subjects taught through Irish,,407,407
Cork County Council,62350D,St Mary's Secondary School,Convent Of Mercy,Mallow,Co Cork,,02221998,SR. BRID BIGGANE,CATHOLIC,Girls,No subjects taught through Irish,608,,608
Cork County Council,62360G,Christian Brothers Secondary School,Castleredmond,Midleton,Co Cork,,0214631555,MR. PATRICK HURLEY,CATHOLIC,Boys,No subjects taught through Irish,,594,594
Cork County Council,62370J,Midleton College,Midleton,Co Cork,,,0214631146,MR. SIMON THOMPSON,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,132,210,342
Cork County Council,62380M,St Mary's High School,Midleton,Co Cork,,,0214631973,MR. DANIEL FRANCIS CRONIN,CATHOLIC,Girls,No subjects taught through Irish,609,,609
Cork County Council,62420V,Christian Brothers Secondary School,Mitchelstown,Co Cork,,,02524104,UAS. JOHN DESMOND,CATHOLIC,Boys,No subjects taught through Irish,,349,349
Cork County Council,62421A,Presentation Secondary School,Mitchelstown,Co Cork,,,02524394,MS. ANNE KIRKE,CATHOLIC,Girls,No subjects taught through Irish,306,,306
Cork County Council,62440E,Scoil na mBráithre Chríostaí,Bakers Road,Charleville,Co Cork,,06381789,MR. MAURICE KEOHANE,CATHOLIC,Boys,No subjects taught through Irish,,293,293
Cork County Council,62450H,St. Mary's Secondary School,Convent Of Mercy,Charleville,Co Cork,,06381877,MS. ANN DOHERTY,CATHOLIC,Girls,No subjects taught through Irish,380,,380
Cork County Council,62460K,St Francis Capuchin College,Rochestown,Co Cork,,,0214891417,MR. DERMOT O'MAHONY,CATHOLIC,Boys,No subjects taught through Irish,,657,657
Cork County Council,62470N,Mount St Michael,Rosscarbery,Co Cork,,,0238848114,MR. BART KERRISK,CATHOLIC,Mixed,No subjects taught through Irish,198,212,410
Cork County Council,62480Q,St Fachtna's - De La Salle College,Skibbereen,Co Cork,,,02821454,MR. DAVID BARRY,CATHOLIC,Boys,No subjects taught through Irish,,275,275
Cork County Council,62490T,Mercy Heights Secondary School,Skibbereen,Co Cork,,,02821550,MR. ANTON O'MAHONY,CATHOLIC,Girls,No subjects taught through Irish,408,,408
Cork County Council,70910L,"St. Brogan's College, Bandon",Kilbrogan,Bandon,Co Cork,,0238841120,Patrick Mawe,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,256,436,692
Cork County Council,70920O,Colaiste Ghobnatan,Baile Mhic Ire,Co Chorcaí,,,02645058,Breandán Ó Lionáird,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,113,109,222
Cork County Council,70931T,Scoil Mhuire,Béal Atha an Ghaorthaidh,Co Chorcaí,,,02647050,Mr Sean Og O Duinnin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,57,38,95
Cork County Council,70950A,Clonakilty Community College,Clonakilty,Co Cork,,,0238833877,Anne Dunne,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,103,527,630
Cork County Council,70960D,Coachford College,Coachford,Co Cork,,,0217334113,Patrick O'Connor,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,270,284,554
Cork County Council,70970G,Cobh Community College,Carrignafoy,Cobh,Co. Cork,,0214811325,Frank Donovan,INTER DENOMINATIONAL,Mixed,Some pupils taught some subjects through Irish,139,128,267
Cork County Council,70990M,Coláiste an Chraoibhin,Duntaheen Road,Fermoy,Co Cork,,02531633,Christy Healy,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,241,373,614
Cork County Council,71000A,Colaiste Treasa,Kanturk,Co Cork,,,02950062,Seamus Buckley Acting,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,190,241,431
Cork County Council,71020G,Davis College,Summerhill,Mallow,Co Cork,,02221173,Denis Healy,INTER DENOMINATIONAL,Mixed,Some pupils taught some subjects through Irish,549,415,964
Cork County Council,71030J,McEgan College,Macroom,Co Cork,,,02641076,Helen Cadogan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,160,148,308
Cork County Council,71040M,St Fanahan's College,Mitchelstown,Mallow,Co.Cork,,02524314,Colman Murphy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,113,98,211
Cork County Council,71050P,St Colman's Community College,Youghal Road,Midleton,Co Cork,,0214631696,Mr G. Kelly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,176,414,590
Cork County Council,71080B,Mannix College,Charleville,Co Cork,,,06381422,Mr Kevin Whyte,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,40,33,73
Cork County Council,71090E,Rossa College,Skibbereen,Co Cork,,,02821644,Stephen Gilbert,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,128,135,263
Cork County Council,71101G,St Aidan's Community College,Ballincolly,Dublin Hill,Cork,,0214309598,Mr. Liam Ahern,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,258,472,730
Cork County Council,71102I,Schull Community College,Colla Road,Schull,Co Cork,,02828315,Mr Timothy O'Connor,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,209,240,449
Cork County Council,71103K,Coláiste Choilm,Ballincollig,Co. Cork,,,0214873308,Mr P Kinsella,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,673,688,1361
Cork County Council,76064F,Glanmire Community College,Glanmire,Co. Cork,,,0214822377,Pat McKelvey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,333,458,791
Cork County Council,76067L,Colaiste Pobail Naomh Mhuire,Cill na Mullach,Co Chorcaí,,,02223733,Mr Donal O'Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,85,128,213
Cork County Council,76086P,MARIA IMMACULATA COMMUNITY COLLEGE,Dunmanway,Co Cork,,,0238856030,Ms Fiona Nic Charthaigh,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,216,276,492
Cork County Council,76090G,Coláiste Pobail Bheanntraí,SESKIN,BANTRY,CO CORK,,02756434,Dr. Kevin Healy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,317,330,647
Cork County Council,81009B,Boherbue Comprehensive School,Boherbue,Mallow,Co Cork,,02976032,MRS. MARY O'KEEFFE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,186,162,348
Cork County Council,91386O,Ballincollig Community School,Innishmore,Ballincollig,Co Cork,,0214871740,MISS KATHLEEN LOWNEY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,373,394,767
Cork County Council,91387Q,Beara Community School,Castletownbere,Beara,Co Cork,,02770177,MRS. MARY O'SULLIVAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,142,170,312
Cork County Council,91388S,Carrigaline Community School,Waterpark Road,Carrigaline,Co Cork,,0214372300,MR. JOHN D HOURIHAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,499,469,968
Cork County Council,91390F,Millstreet Community School,Millstreet Town,Co Cork,,,02970087,MR. P PIGOTT,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,114,121,235
Cork County Council,91391H,St Peter's Community School,Passage West,Co Cork,,,0214841599,MR. DEREK DUNNE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,146,145,291
Cork County Council,91499E,Kinsale Community School,Kinsale,Co Cork,,,0214773174,MR. SEAN O'BROIN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,408,363,771
Cork County Council,91513S,Pobalscoil na Tríonóide,Frogmore,Youghal,Co. Cork,,02425836,SEAMUS O'CEALLACHAIN,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,424,424,848
Donegal County Council,62770C,Scoil Mhuire Secondary School,St. Oran's Road,Buncrana,Co. Donegal,,0749361065,MR. LIAM RAINEY,CATHOLIC,Mixed,No subjects taught through Irish,252,290,542
Donegal County Council,62830R,St Eunan's College,Letterkenny,Co Donegal,,,0749121143,MR. CHRISTOPHER DARBY,CATHOLIC,Boys,No subjects taught through Irish,,901,901
Donegal County Council,62840U,Loreto Convent,Letterkenny,Co Donegal,,,0749121850,MRS. BRIGID KENNY,CATHOLIC,Girls,No subjects taught through Irish,935,,935
Donegal County Council,62861F,St Columbas College,Stranorlar,Co. Donegal,,,0749131246,MR. GERARD BENNETT,CATHOLIC,Mixed,No subjects taught through Irish,430,426,856
Donegal County Council,71140Q,Crana College,Crana Road,Buncrana,Co. Donegal,,0749361113,Mr Liam Galbraith,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,274,254,528
Donegal County Council,71150T,Coláiste na Carraige,Carrick,Co. Donegal,,,0749739071,Mr Pádraig Ó Leime,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,115,110,225
Donegal County Council,71180F,Abbey Vocational School,The Glebe,Donegal Town,Co.Donegal,,0749721105,Mr Emmanuel McCormack,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,363,358,721
Donegal County Council,71200I,Errigal College,Windyhall,Letterkenny,,,0749121047,Ms Anne McHugh,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,170,167,337
Donegal County Council,71220O,Mulroy College,Milford,Letterkenny,Co Donegal,,0749153346,Mrs. Rita Gleeson,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,147,159,306
Donegal County Council,71230R,Deele College,Raphoe,Lifford,Co Donegal,,0749145493,Mr. P.J. McGowan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,269,290,559
Donegal County Council,71240U,Finn Valley College,Main Street,Stranorlar,Lifford,,0749131684,Frank Dooley,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,127,175,302
Donegal County Council,71241W,St. Catherine's Vocational School,Donegal Road,Killybegs,Co. Donegal,,0749731491,Anne Marie Luby,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,184,138,322
Donegal County Council,71242B,Gairm Scoil Chú Uladh,Béal an Átha Móir,An Clochan,Leifear,Co Dhun na nGall,0749546133,Fiona Ni Chnáimhsí,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,149,138,287
Donegal County Council,71244F,Gairmscoil Mhic Diarmada,An Leadhbgarbh,Árainn Mhór,Co Dhún na nGall,,0749520747,Mary Doherty,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,22,36,58
Donegal County Council,76079S,Coláiste Phobail Cholmcille,Baile Úr,Oileán Thoraí,Doirí Beaga,Co. Dhún Na nGall,0749165448,Máire Clár Nic Mhathúna,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,4,,4
Donegal County Council,76081F,Coláiste Ailigh,Teach Sprackburn,Bóthar Ard,Leitir Ceanainn,,0749125943,Michéal Ó Giobúin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,88,106,194
Donegal County Council,76083J,Magh Ene College,Church Road,Bundoran,Co Donegal,,0719841244,Jacqueline O'Reilly Dillon,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,169,177,346
Donegal County Council,76084L,Moville Community College,Carrownaff,Moville,Co Donegal,,0749385988,Anthony Doogan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,260,251,511
Donegal County Council,76107U,Gaelcholaiste Chineál Eoghain,Muileann Thulaigh Gharbháin,Bun Chranncha,Co. Dhún na nGall,,0749322350,Éabha Ní Mhonacháin,MULTI DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,16,23,39
Donegal County Council,81010J,St Columba's Comprehensive School,Glenties,Co Donegal,,,0749551172,MS. FRANCES BONER,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,171,215,386
Donegal County Council,81011L,The Royal and Prior School,Raphoe,Co Donegal,,,0749145389,DR. HOWARD TERENCE WELCH,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,260,249,509
Donegal County Council,91406R,Carndonagh Community School,Carndonagh,Lifford,Co Donegal,,0749374260,MR. PAUL.I FIORENTINI,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,481,491,972
Donegal County Council,91407T,Rosses Community School,Dungloe,Co. Donegal,,,0749521122,MR. JOHN GORMAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,232,267,499
Donegal County Council,91408V,Pobalscoil Chloich Cheannfhaola,An Fálcarrach,Leitir Ceanainn,Co. Dhún na nGall,,0749135424,MS. MAEVE SWEENEY,INTER DENOMINATIONAL,Mixed,Some pupils taught some subjects through Irish,256,237,493
